prompt,ground_truth,generated_hint,bleu_1,bleu_2,bleu_3,bleu_4
"Q: This is a browser app. On its BrowserActivity page, it has an input component. The text on this component is 'www.walmart.com/store/weekly-ads?flyer_run_id=183730&flyer_type_name=circular?veh=bv_dis&ADID=IID282030SGen'. Below is the relevant prompt information of the input component:
Thers is a component on the same horizontal line as this input component. The purpose of this component may be 'tab switcher'. 
Thers is a component on the same horizontal line as this input component. The purpose of this component may be 'more'. 
The purpose of this input component may be 'url'. What is the hint text of this input component?",Search or type URL,Search or type URL,1.0,1.0,1.0,1.0
"Q: This is a browser app. On its BrowserActivity page, it has an input component. The text on this component is 'https://www.walmart.com/store/5403/weekly-ads?ADID=IID282030SGen&flyer_run_id=183730&flyer_type_name=circular?veh%3Dbv_dis'. Below is the relevant prompt information of the input component:
Thers is a component on the same horizontal line as this input component. The purpose of this component may be 'tab switcher'. 
Thers is a component on the same horizontal line as this input component. The purpose of this component may be 'more'. 
The purpose of this input component may be 'url'. What is the hint text of this input component?",Search or type URL,Search or type URL,1.0,1.0,1.0,1.0
"Q: This is a browser app. On its BrowserActivity page, it has an input component. The text on this component is 'https://www.walmart.com/browse/jewelry-valentines-day-gifts/0/0/?_refineresult=true&_be_shelf_id=6829&search_sort=100&facet=shelf_id%3A6829&cat_id=0'. Below is the relevant prompt information of the input component:
Thers is a component on the same horizontal line as this input component. The purpose of this component may be 'tab switcher'. 
Thers is a component on the same horizontal line as this input component. The purpose of this component may be 'more'. 
The purpose of this input component may be 'url'. What is the hint text of this input component?",Search or type URL,Search or type URL,1.0,1.0,1.0,1.0
"Q: This is a browser app. On its BrowserActivity page, it has an input component. The text on this component is 'https://www.walmart.com/search/?query=cereal&cat_id=976759&typeahead=cere'. Below is the relevant prompt information of the input component:
Thers is a component on the same horizontal line as this input component. The purpose of this component may be 'tab switcher'. 
Thers is a component on the same horizontal line as this input component. The purpose of this component may be 'more'. 
The purpose of this input component may be 'url'. What is the hint text of this input component?",Search or type URL,Search or type URL,1.0,1.0,1.0,1.0
"Q: This is a school app. On its AddSchoolActivity page, it has an input component. The text on this component is 'john'. Below is the relevant prompt information of the input component:
Thers is a component on the same horizontal line as this input component. The purpose of this component may be 'search close btn'. 
The purpose of this input component may be 'search src text'. What is the hint text of this input component?",Enter your school name,Enter your school name,1.0,1.0,1.0,1.0
"Q: This is a browser app. On its BrowserActivity page, it has an input component. The text on this component is 'https://m.youtube.com/watch?v=84TouqfIsiI'. Below is the relevant prompt information of the input component:
Thers is a component on the same horizontal line as this input component. The purpose of this component may be 'tab switcher'. 
Thers is a component on the same horizontal line as this input component. The purpose of this component may be 'more'. 
The purpose of this input component may be 'url'. What is the hint text of this input component?",Search or type URL,Search or type URL,1.0,1.0,1.0,1.0
"Q: This is a browser app. On its BrowserActivity page, it has an input component. The text on this component is 'https://m.facebook.com/confirmemail.php?next=https%3A%2F%2Fm.facebook.com%2Fpages%2FUsee%2F215878541912205&_rdr'. Below is the relevant prompt information of the input component:
Thers is a component on the same horizontal line as this input component. The purpose of this component may be 'newtab'. 
Thers is a component on the same horizontal line as this input component. The purpose of this component may be 'bookmarks'. 
Thers is a component on the same horizontal line as this input component. The purpose of this component may be 'more'. 
Thers is a component on the same horizontal line as this input component. The purpose of this component may be 'tab switcher'. 
Thers is a component on the same horizontal line as this input component. The purpose of this component may be 'more'. 
The purpose of this input component may be 'url'. What is the hint text of this input component?",Search or type URL,Search or type URL,1.0,1.0,1.0,1.0
"Q: This is a tfa app. On its SearchLocationActivity page, it has an input component. The text on this component is '94101'. The purpose of this input component may be 'search input'. What is the hint text of this input component?",Enter zipcode/city&state,Enter Location,0.78794411726764,0.78794411726764,0.618558927857080,0.518558927632837
"Q: This is a tfa app. On its SearchLocationActivity page, it has an input component. The purpose of this input component may be 'search input'. What is the hint text of this input component?",Enter zipcode/city&state,Enter Location,0.78794411726764,0.78794411726764,0.618558927857080,0.518558927632837
"Q: This is a browser app. On its BrowserActivity page, it has an input component. The text on this component is 'https://doapp.freshdesk.com/support/home'. Below is the relevant prompt information of the input component:
Thers is a component on the same horizontal line as this input component. The purpose of this component may be 'newtab'. 
Thers is a component on the same horizontal line as this input component. The purpose of this component may be 'bookmarks'. 
Thers is a component on the same horizontal line as this input component. The purpose of this component may be 'more'. 
Thers is a component on the same horizontal line as this input component. The purpose of this component may be 'tab switcher'. 
Thers is a component on the same horizontal line as this input component. The purpose of this component may be 'more'. 
The purpose of this input component may be 'url'. What is the hint text of this input component?",Search or type URL,Search or type URL,1.0,1.0,1.0,1.0
